metabolite,importance
140,0.021651092780125038
74,0.020108396424185895
118,0.018943544601439335
21,0.018811796648483953
214,0.018723682473682474
34,0.01772170811644496
2,0.017660818713450294
146,0.017252747252747253
195,0.016884934525587883
196,0.016773705096073517
273,0.015964912280701755
53,0.015679831617331615
132,0.015259994130961874
231,0.014946987183829292
86,0.014831349206349204
239,0.014554495212389948
85,0.014494209494209494
15,0.014458608405976826
228,0.014372049049468403
87,0.013075933075933079
205,0.012422258869627289
107,0.012124737519474363
44,0.011786616161616163
4,0.011583577712609972
201,0.011207114068956175
128,0.011179637386533938
141,0.01093104382578067
26,0.010861769809138229
11,0.010793980793980796
240,0.010793650793650793
181,0.010701161688003795
225,0.010630630630630633
64,0.010619369369369368
151,0.0099287975758564
88,0.009695522590259433
184,0.009523549284578697
194,0.009477088424456848
255,0.009467787114845938
246,0.009419833367201789
80,0.009219141604010026
77,0.009179197994987467
94,0.009137514532251374
210,0.009128909128909131
100,0.00905388471177945
178,0.009010594668489406
150,0.008955080007711587
202,0.008920733920733923
30,0.008825922696890438
129,0.008821269216006058
130,0.00882044475794476
17,0.00875243907501972
272,0.008697158697158697
122,0.008539655727155726
47,0.008538995726495729
177,0.008526383526383526
157,0.00842927342927343
48,0.008367848367848367
54,0.008266838266838267
274,0.00810744810744811
156,0.008014058014058016
43,0.008004626951995372
216,0.007959933617828353
252,0.0077531667005351235
7,0.007323310071154898
75,0.0072527472527472514
147,0.00723938223938224
235,0.007219417219417221
218,0.00711631274131274
206,0.007112290862290862
226,0.006813186813186817
39,0.006756756756756756
175,0.006740858505564389
104,0.006568428991029611
61,0.00650062656641604
139,0.006460863697705804
55,0.006114163614163614
170,0.006113256113256114
81,0.006109022556390977
203,0.006086500033868455
38,0.005727155727155726
103,0.005495495495495495
176,0.00549466615256089
8,0.005480480480480481
186,0.005363408521303258
49,0.005336954601660484
99,0.00530701754385965
116,0.005307017543859649
204,0.0052668052668052665
152,0.005095865095865096
96,0.0050427350427350425
111,0.004975744975744976
138,0.0047619047619047615
168,0.00452020202020202
35,0.0044736842105263155
137,0.004452855110749847
22,0.0044444444444444444
142,0.004375
59,0.004018492176386914
174,0.003878446115288221
144,0.0038223938223938218
188,0.003744513744513745
115,0.003703703703703704
12,0.003614163614163614
183,0.003609022556390978
95,0.0034749034749034765
190,0.0029487179487179493
234,0.0028282828282828287
179,0.002777777777777778
105,0.002702702702702703
275,0.0025
37,0.00249084249084249
143,0.00249084249084249
158,0.0023931623931623936
57,0.002393162393162393
189,0.0015625
265,0.001470588235294118
50,0.001388888888888889
249,0.001388888888888889
250,0
123,0
42,0
222,0
215,0
243,0
33,0
199,0
207,0
211,0
171,0
