metabolite,importance
228,0.02731844535538988
179,0.025775381624579062
193,0.021015691544675304
265,0.01957200206909012
81,0.017916451020110902
152,0.017736939802729272
44,0.016680123613476105
176,0.016510519372667853
121,0.016421510002389773
192,0.016211816828206525
144,0.01583010196649952
2,0.015473354026904768
276,0.015239314025502682
147,0.015210802172931763
34,0.014695399569477362
111,0.014519654648964993
244,0.014079285983329417
99,0.013978311078480861
77,0.013934897562226368
169,0.013597104390950793
3,0.013428349428349428
35,0.012721140895659368
128,0.012445285803044421
226,0.012389029590952666
178,0.01225185783782043
122,0.012111561297319811
146,0.011530507962074405
57,0.011490355565516816
109,0.011443070818070816
246,0.011336219890753547
155,0.011219763577342523
170,0.011080625916395798
204,0.010846687820825748
273,0.010793884385660086
38,0.01070338784890635
16,0.010471375260107654
234,0.010278193528193529
231,0.010137422267978457
274,0.01005719931119931
171,0.009976694071627669
211,0.009882462866968525
250,0.009881979131979135
130,0.009765206990237115
17,0.009650797498962126
104,0.00960943417366947
70,0.009428194858101402
55,0.009288931788931786
115,0.00901643152825885
245,0.008869105733911824
86,0.008844012745811269
206,0.00874059274059274
150,0.00869467935257409
26,0.008599172427798873
240,0.008588963963963964
89,0.008586063504599771
138,0.008525682045546056
96,0.008402950944926449
201,0.008218102159278628
53,0.008162579498786394
12,0.007967996915365339
151,0.007933247308247305
132,0.007839883264401744
137,0.007741295687061322
85,0.007700019278966646
222,0.007385569648420116
125,0.007355362705829997
229,0.007247764490411548
59,0.0072054135140329255
225,0.006919540229885057
10,0.006919510314247156
191,0.0068544425871158565
272,0.006507315525891376
252,0.006380277617119721
175,0.006166360806900997
23,0.005962616822429903
116,0.005889352027283063
156,0.005810338680926913
255,0.0056896551724137925
74,0.005482456140350879
157,0.005413761865374769
37,0.005179649122807015
32,0.005172413793103446
15,0.0051137192666635125
163,0.004929514929514933
243,0.004864040943480198
50,0.0048571428571428585
224,0.004735412983076536
153,0.004690710120616662
8,0.0046491228070175425
267,0.0044444444444444444
205,0.00439539261741222
233,0.004318624078624078
212,0.004183423015198715
117,0.00403083028083028
103,0.004005494505494508
43,0.0039958443379104
168,0.003845982677758379
189,0.0036308411214953274
203,0.003630841121495326
24,0.0035869565217391307
71,0.003512544802867384
54,0.00331960531960532
174,0.0030402524304963337
218,0.0030000000000000005
60,0.0029030754892823856
210,0.0028547297297297327
94,0.0023275862068965524
18,0.002032710280373832
31,0.0020202020202020206
14,0.001415929203539826
30,0.0014159292035398243
105,0.0013157894736842105
254,0.0010240000000000002
249,3.40517002113709e-18
63,2.9776096445885414e-18
33,2.3254671461743145e-18
269,0
124,0
133,0
215,0
253,0
64,0
237,0
49,0
185,0
196,0
199,0
208,0
21,0
