filename	ATTRIBUTE_Lab	ATTRIBUTE_Mix	ATTRIBUTE_Type
DOM_Interlab-LCMS_Lab15_A_Pos_MS2_rep3.mzML	15	A	Sample
DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML	15	A15M	Sample
DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML	15	A15M	Sample
DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML	15	A15M	Sample
DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML	15	A45M	Sample
DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML	15	A45M	Sample
DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep3.mzML	15	A45M	Sample
DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML	15	A5M	Sample
DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep2.mzML	15	A5M	Sample
DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML	15	A5M	Sample
DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML	15	M	Sample
DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML	15	M	Sample
DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML	15	M	Sample
DOM_Interlab-LCMS_Lab15_PPL_Pos_MS2.mzML	15	B	Blank
DOM_Interlab-LCMS_Lab16_A_Pos_MS2_rep1.mzML	16	A	Sample
DOM_Interlab-LCMS_Lab16_A_Pos_MS2_rep2.mzML	16	A	Sample
DOM_Interlab-LCMS_Lab16_A_Pos_MS2_rep3.mzML	16	A	Sample
DOM_Interlab-LCMS_Lab16_A15M_Pos_MS2_rep1.mzML	16	A15M	Sample
DOM_Interlab-LCMS_Lab16_A15M_Pos_MS2_rep2.mzML	16	A15M	Sample
DOM_Interlab-LCMS_Lab16_A15M_Pos_MS2_rep3.mzML	16	A15M	Sample
DOM_Interlab-LCMS_Lab16_A45M_Pos_MS2_rep1.mzML	16	A45M	Sample
DOM_Interlab-LCMS_Lab16_A45M_Pos_MS2_rep2.mzML	16	A45M	Sample
DOM_Interlab-LCMS_Lab16_A45M_Pos_MS2_rep3.mzML	16	A45M	Sample
DOM_Interlab-LCMS_Lab16_A5M_Pos_MS2_rep1.mzML	16	A5M	Sample
DOM_Interlab-LCMS_Lab16_A5M_Pos_MS2_rep2.mzML	16	A5M	Sample
DOM_Interlab-LCMS_Lab16_A5M_Pos_MS2_rep3.mzML	16	A5M	Sample
DOM_Interlab-LCMS_Lab16_Blank_Pos_MS2_rep1.mzML	16	B	Blank
DOM_Interlab-LCMS_Lab16_M_Pos_MS2_rep1.mzML	16	M	Sample
DOM_Interlab-LCMS_Lab16_M_Pos_MS2_rep2.mzML	16	M	Sample
DOM_Interlab-LCMS_Lab16_M_Pos_MS2_rep3.mzML	16	M	Sample
DOM_Interlab-LCMS_Lab19_A_Pos_MS2_rep1.mzML	19	A	Sample
DOM_Interlab-LCMS_Lab19_A_Pos_MS2_rep2.mzML	19	A	Sample
DOM_Interlab-LCMS_Lab19_A_Pos_MS2_rep3.mzML	19	A	Sample
DOM_Interlab-LCMS_Lab19_A15M_Pos_MS2_rep1.mzML	19	A15M	Sample
DOM_Interlab-LCMS_Lab19_A15M_Pos_MS2_rep2.mzML	19	A15M	Sample
DOM_Interlab-LCMS_Lab19_A15M_Pos_MS2_rep3.mzML	19	A15M	Sample
DOM_Interlab-LCMS_Lab19_A45M_Pos_MS2_rep1.mzML	19	A45M	Sample
DOM_Interlab-LCMS_Lab19_A45M_Pos_MS2_rep2.mzML	19	A45M	Sample
DOM_Interlab-LCMS_Lab19_A45M_Pos_MS2_rep3.mzML	19	A45M	Sample
DOM_Interlab-LCMS_Lab19_A5M_Pos_MS2_rep1.mzML	19	A5M	Sample
DOM_Interlab-LCMS_Lab19_A5M_Pos_MS2_rep2.mzML	19	A5M	Sample
DOM_Interlab-LCMS_Lab19_A5M_Pos_MS2_rep3.mzML	19	A5M	Sample
DOM_Interlab-LCMS_Lab19_Blank_Pos_MS2_rep1.mzML	19	B	Blank
DOM_Interlab-LCMS_Lab19_M_Pos_MS2_rep1.mzML	19	M	Sample
DOM_Interlab-LCMS_Lab19_M_Pos_MS2_rep2.mzML	19	M	Sample
DOM_Interlab-LCMS_Lab19_M_Pos_MS2_rep3.mzML	19	M	Sample
DOM_Interlab-LCMS_lab22_A_POS_MSMS_rep1.mzML	22	A	Sample
DOM_Interlab-LCMS_lab22_A_POS_MSMS_rep2.mzML	22	A	Sample
DOM_Interlab-LCMS_lab22_A_POS_MSMS_rep3.mzML	22	A	Sample
DOM_Interlab-LCMS_lab22_A15M_POS_MSMS_rep1.mzML	22	A15M	Sample
DOM_Interlab-LCMS_lab22_A15M_POS_MSMS_rep2.mzML	22	A15M	Sample
DOM_Interlab-LCMS_lab22_A15M_POS_MSMS_rep3.mzML	22	A15M	Sample
DOM_Interlab-LCMS_lab22_A45M_POS_MSMS_rep1.mzML	22	A45M	Sample
DOM_Interlab-LCMS_lab22_A45M_POS_MSMS_rep2.mzML	22	A45M	Sample
DOM_Interlab-LCMS_lab22_A45M_POS_MSMS_rep3.mzML	22	A45M	Sample
DOM_Interlab-LCMS_lab22_A5M_POS_MSMS_rep1.mzML	22	A5M	Sample
DOM_Interlab-LCMS_lab22_A5M_POS_MSMS_rep2.mzML	22	A5M	Sample
DOM_Interlab-LCMS_lab22_A5M_POS_MSMS_rep3.mzML	22	A5M	Sample
DOM_Interlab-LCMS_lab22_Blank_POS_MSMS.mzML	22	B	Blank
DOM_Interlab-LCMS_lab22_M_POS_MSMS_rep1.mzML	22	M	Sample
DOM_Interlab-LCMS_lab22_M_POS_MSMS_rep2.mzML	22	M	Sample
DOM_Interlab-LCMS_lab22_M_POS_MSMS_rep3.mzML	22	M	Sample
DOM_Interlab-LCMS_Lab26_A_Pos_MS2_rep1.mzML	26	A	Sample
DOM_Interlab-LCMS_Lab26_A_Pos_MS2_rep2.mzML	26	A	Sample
DOM_Interlab-LCMS_Lab26_A15M_Pos_MS2_rep1.mzML	26	A15M	Sample
DOM_Interlab-LCMS_Lab26_A15M_Pos_MS2_rep2.mzML	26	A15M	Sample
DOM_Interlab-LCMS_Lab26_A45M_Pos_MS2_rep1.mzML	26	A45M	Sample
DOM_Interlab-LCMS_Lab26_A45M_Pos_MS2_rep2.mzML	26	A45M	Sample
DOM_Interlab-LCMS_Lab26_A5M_Pos_MS2_rep1.mzML	26	A5M	Sample
DOM_Interlab-LCMS_Lab26_A5M_Pos_MS2_rep2.mzML	26	A5M	Sample
DOM_Interlab-LCMS_Lab26_M_Pos_MS2_rep1.mzML	26	M	Sample
DOM_Interlab-LCMS_Lab26_M_Pos_MS2_rep2.mzML	26	M	Sample
DOM_Interlab-LCMS_Lab26_PPLBlank_Pos_MS2_rep1.mzML	26	B	Blank
DOM_Interlab-LCMS_Lab30_A_POS_MS2_rep1.mzML	30	A	Sample
DOM_Interlab-LCMS_Lab30_A_POS_MS2_rep2.mzML	30	A	Sample
DOM_Interlab-LCMS_Lab30_A_POS_MS2_rep3.mzML	30	A	Sample
DOM_Interlab-LCMS_Lab30_A15M_POS_MS2_rep1.mzML	30	A15M	Sample
DOM_Interlab-LCMS_Lab30_A15M_POS_MS2_rep2.mzML	30	A15M	Sample
DOM_Interlab-LCMS_Lab30_A15M_POS_MS2_rep3.mzML	30	A15M	Sample
DOM_Interlab-LCMS_Lab30_A45M_POS_MS2_rep1.mzML	30	A45M	Sample
DOM_Interlab-LCMS_Lab30_A45M_POS_MS2_rep2.mzML	30	A45M	Sample
DOM_Interlab-LCMS_Lab30_A45M_POS_MS2_rep3.mzML	30	A45M	Sample
DOM_Interlab-LCMS_Lab30_A5M_POS_MS2_rep1.mzML	30	A5M	Sample
DOM_Interlab-LCMS_Lab30_A5M_POS_MS2_rep2.mzML	30	A5M	Sample
DOM_Interlab-LCMS_Lab30_A5M_POS_MS2_rep3.mzML	30	A5M	Sample
DOM_Interlab-LCMS_Lab30_M_POS_MS2_rep1.mzML	30	M	Sample
DOM_Interlab-LCMS_Lab30_M_POS_MS2_rep2.mzML	30	M	Sample
DOM_Interlab-LCMS_Lab30_M_POS_MS2_rep3.mzML	30	M	Sample
DOM_Interlab-LCMS_Lab30_PPL_POS_MS2_rep1.mzML	30	B	Blank
DOM_Interlab-LCMS_Lab6_A_Pos_MS2_rep2.mzML	6	A	Sample
DOM_Interlab-LCMS_Lab6_A_Pos_MS2_rep3.mzML	6	A	Sample
DOM_Interlab-LCMS_Lab6_A15M_Pos_MS2_rep1.mzML	6	A15M	Sample
DOM_Interlab-LCMS_Lab6_A15M_Pos_MS2_rep2.mzML	6	A15M	Sample
DOM_Interlab-LCMS_Lab6_A15M_Pos_MS2_rep3.mzML	6	A15M	Sample
DOM_Interlab-LCMS_Lab6_A45M_Pos_MS2_rep1.mzML	6	A45M	Sample
DOM_Interlab-LCMS_Lab6_A45M_Pos_MS2_rep2.mzML	6	A45M	Sample
DOM_Interlab-LCMS_Lab6_A45M_Pos_MS2_rep3.mzML	6	A45M	Sample
DOM_Interlab-LCMS_Lab6_A5M_Pos_MS2_rep1.mzML	6	A5M	Sample
DOM_Interlab-LCMS_Lab6_A5M_Pos_MS2_rep2.mzML	6	A5M	Sample
DOM_Interlab-LCMS_Lab6_A5M_Pos_MS2_rep3.mzML	6	A5M	Sample
DOM_Interlab-LCMS_Lab6_M_Pos_MS2_rep1.mzML	6	M	Sample
DOM_Interlab-LCMS_Lab6_M_Pos_MS2_rep2.mzML	6	M	Sample
DOM_Interlab-LCMS_Lab6_M_Pos_MS2_rep3.mzML	6	M	Sample
DOM_Interlab-LCMS_Lab6_PPL_Pos_MS2_rep1.mzML	6	B	Blank
DOM_Interlab-LCMS_Lab7_A_POS_MS2_rep1.mzML	7	A	Sample
DOM_Interlab-LCMS_Lab7_A_POS_MS2_rep2.mzML	7	A	Sample
DOM_Interlab-LCMS_Lab7_A_POS_MS2_rep3.mzML	7	A	Sample
DOM_Interlab-LCMS_Lab7_A15M_POS_MS2_rep1.mzML	7	A15M	Sample
DOM_Interlab-LCMS_Lab7_A15M_POS_MS2_rep2.mzML	7	A15M	Sample
DOM_Interlab-LCMS_Lab7_A15M_POS_MS2_rep3.mzML	7	A15M	Sample
DOM_Interlab-LCMS_Lab7_A45M_POS_MS2_rep1.mzML	7	A45M	Sample
DOM_Interlab-LCMS_Lab7_A45M_POS_MS2_rep2.mzML	7	A45M	Sample
DOM_Interlab-LCMS_Lab7_A45M_POS_MS2_rep3.mzML	7	A45M	Sample
DOM_Interlab-LCMS_Lab7_A5M_POS_MS2_rep1.mzML	7	A5M	Sample
DOM_Interlab-LCMS_Lab7_A5M_POS_MS2_rep2.mzML	7	A5M	Sample
DOM_Interlab-LCMS_Lab7_A5M_POS_MS2_rep3.mzML	7	A5M	Sample
DOM_Interlab-LCMS_Lab7_M_POS_MS2_rep1.mzML	7	M	Sample
DOM_Interlab-LCMS_Lab7_M_POS_MS2_rep2.mzML	7	M	Sample
DOM_Interlab-LCMS_Lab7_M_POS_MS2_rep3.mzML	7	M	Sample
DOM_Interlab-LCMS_Lab7_PPLblank_POS_MS2_rep1.mzML	7	B	Blank
DOM_Interlab-LCMS_Lab8_A_Pos_MS2_rep1.mzML	8	A	Sample
DOM_Interlab-LCMS_Lab8_A_Pos_MS2_rep2.mzML	8	A	Sample
DOM_Interlab-LCMS_Lab8_A_Pos_MS2_rep3.mzML	8	A	Sample
DOM_Interlab-LCMS_Lab8_A15M_Pos_MS2_rep1.mzML	8	A15M	Sample
DOM_Interlab-LCMS_Lab8_A15M_Pos_MS2_rep2.mzML	8	A15M	Sample
DOM_Interlab-LCMS_Lab8_A15M_Pos_MS2_rep3.mzML	8	A15M	Sample
DOM_Interlab-LCMS_Lab8_A45M_Pos_MS2_rep1.mzML	8	A45M	Sample
DOM_Interlab-LCMS_Lab8_A45M_Pos_MS2_rep2.mzML	8	A45M	Sample
DOM_Interlab-LCMS_Lab8_A45M_Pos_MS2_rep3.mzML	8	A45M	Sample
DOM_Interlab-LCMS_Lab8_A5M_Pos_MS2_rep1.mzML	8	A5M	Sample
DOM_Interlab-LCMS_Lab8_A5M_Pos_MS2_rep2.mzML	8	A5M	Sample
DOM_Interlab-LCMS_Lab8_A5M_Pos_MS2_rep3.mzML	8	A5M	Sample
DOM_Interlab-LCMS_Lab8_M_Pos_MS2_rep1.mzML	8	M	Sample
DOM_Interlab-LCMS_Lab8_M_Pos_MS2_rep2.mzML	8	M	Sample
DOM_Interlab-LCMS_Lab8_M_Pos_MS2_rep3.mzML	8	M	Sample
DOM_Interlab-LCMS_Lab8_PPLBlk_Pos_MS2_rep1.mzML	8	B	Blank
DOM_Interlab-LCMS_Lab9_A_Pos_MS2_rep1.mzML	9	A	Sample
DOM_Interlab-LCMS_Lab9_A_Pos_MS2_rep2.mzML	9	A	Sample
DOM_Interlab-LCMS_Lab9_A_Pos_MS2_rep3.mzML	9	A	Sample
DOM_Interlab-LCMS_Lab9_A15M_Pos_MS2_rep1.mzML	9	A15M	Sample
DOM_Interlab-LCMS_Lab9_A15M_Pos_MS2_rep2.mzML	9	A15M	Sample
DOM_Interlab-LCMS_Lab9_A15M_Pos_MS2_rep3.mzML	9	A15M	Sample
DOM_Interlab-LCMS_Lab9_A45M_Pos_MS2_rep1.mzML	9	A45M	Sample
DOM_Interlab-LCMS_Lab9_A45M_Pos_MS2_rep2.mzML	9	A45M	Sample
DOM_Interlab-LCMS_Lab9_A45M_Pos_MS2_rep3.mzML	9	A45M	Sample
DOM_Interlab-LCMS_Lab9_A5M_Pos_MS2_rep1.mzML	9	A5M	Sample
DOM_Interlab-LCMS_Lab9_A5M_Pos_MS2_rep2.mzML	9	A5M	Sample
DOM_Interlab-LCMS_Lab9_A5M_Pos_MS2_rep3.mzML	9	A5M	Sample
DOM_Interlab-LCMS_Lab9_M_Pos_MS2_rep1.mzML	9	M	Sample
DOM_Interlab-LCMS_Lab9_M_Pos_MS2_rep2.mzML	9	M	Sample
DOM_Interlab-LCMS_Lab9_M_Pos_MS2_rep3.mzML	9	M	Sample
DOM_Interlab-LCMS_Lab9_PPLBlank_Pos_MS2_rep1.mzML	9	B	Blank
