metabolite,importance
237,0.022897294344662766
273,0.021342064839518154
97,0.019201366438208547
126,0.018419928025191185
26,0.01827450426134637
60,0.017858686860234854
244,0.017601411176461884
202,0.017157973605342026
181,0.016566255382044856
310,0.0163831777541455
147,0.01610424497521272
56,0.01595287595287595
187,0.014700079266611526
259,0.014300766283524906
123,0.013589157404946879
203,0.01342356545242793
51,0.013093350363087206
209,0.012992802876703805
184,0.012894795263216317
235,0.012547160913035278
124,0.01226167107746055
145,0.012146569646569644
309,0.012104882137776874
153,0.012067673515041937
87,0.0114614898989899
48,0.011228070175438597
152,0.011194766194766195
24,0.01095056595056595
117,0.010742452979295086
37,0.010670640565377407
295,0.010388657888657891
20,0.010360601347443453
208,0.010316924066924065
236,0.010275689223057646
338,0.01026366592156066
299,0.010215629162997585
139,0.010069444444444443
38,0.009942208100102838
21,0.0099314163787848
211,0.009922884133410451
269,0.0097739703989704
173,0.009768170426065164
141,0.009592323415852826
170,0.009581518331518333
308,0.009435612082670906
231,0.009320597165991904
311,0.009174009174009174
332,0.009157509157509156
151,0.009105235042735043
34,0.008906048906048906
8,0.00885547201336675
238,0.008811998811998815
127,0.00860929610929611
5,0.008554778554778555
194,0.008470695970695972
239,0.008412859070753809
304,0.008238562449088764
205,0.008165674603174604
2,0.007979797979797981
175,0.0078979803979804
206,0.007870507870507871
65,0.007631257631257633
16,0.007488753936122357
81,0.00736148236148236
303,0.007297297297297298
250,0.007275641025641027
320,0.00723938223938224
106,0.007216117216117217
11,0.007095588235294118
283,0.007072810230704967
333,0.007013888888888888
63,0.0069238975817923175
276,0.006860916860916859
197,0.006782106782106782
132,0.006721194879089616
230,0.006471306471306472
261,0.006386800334168757
171,0.006386800334168757
195,0.006311725259093681
297,0.006215556215556215
113,0.006109022556390978
27,0.0058333333333333345
262,0.005495495495495495
179,0.00529298205768794
253,0.0049224021592442655
167,0.004810905468800204
285,0.004694167852062589
188,0.004553105737316262
174,0.004545454545454546
36,0.004464526701368806
1,0.0044444444444444444
148,0.004285714285714286
196,0.004257703081232494
89,0.0038223938223938218
225,0.0038157894736842103
94,0.0034749034749034765
318,0.0034749034749034765
212,0.0034749034749034765
274,0.003467261904761905
31,0.003371553371553372
279,0.0033333333333333335
270,0.0032432432432432435
316,0.0031015037593984957
186,0.0028125
108,0.002777777777777778
337,0.002777777777777778
142,0.0025225225225225228
168,0.002477477477477477
32,0.002477477477477477
118,0.0023931623931623936
109,0.0020833333333333333
339,0.0020270270270270267
122,0.00202020202020202
64,0.001973684210526316
200,0.001973684210526316
190,0.001904761904761905
25,0.001904761904761905
69,0.0017241379310344825
172,0.0017094017094017094
256,0.0015625
248,0.001388888888888889
53,0.0013157894736842107
164,0.0013157894736842105
6,0.0013157894736842105
155,0
140,0
7,0
19,0
23,0
189,0
219,0
144,0
29,0
224,0
178,0
306,0
44,0
263,0
154,0
96,0
79,0
292,0
291,0
115,0
