metabolite,importance
123,0.02830738162975005
334,0.026700245205438452
196,0.022195717514053675
155,0.02103776311013153
135,0.01961439027228501
172,0.01901029624713835
185,0.0187708573234889
160,0.018696120932963037
270,0.018372622001654255
257,0.017416957153799255
220,0.017403050302624606
63,0.01642112036848879
29,0.01605806355806355
272,0.015919937794937788
209,0.015097011691438934
125,0.013791715557420137
311,0.013275418275418272
186,0.013006715506715501
250,0.012557997557997556
240,0.012478734715576818
157,0.012367828354670457
215,0.012367381117381114
191,0.011995181995181993
269,0.011613457753163633
306,0.01156964380648591
254,0.0115367811420443
126,0.011432982756512167
324,0.011383454541349277
203,0.011062271062271058
137,0.010735622840885996
32,0.010722329472329472
246,0.010456607561870716
184,0.010229092697332262
141,0.010147484094852513
87,0.009955449955449953
195,0.00991341991341991
97,0.009858429858429859
38,0.009828919253261357
70,0.009523809523809523
139,0.00923053601746301
46,0.009178321678321678
273,0.009100171600171599
122,0.009099903474903475
289,0.008916040100250627
333,0.008908730158730158
19,0.008870148343832552
263,0.00882494698284172
208,0.008675096832991568
110,0.008573855810697913
136,0.008481169139063875
151,0.008402777777777776
167,0.008332586490481226
188,0.008168892039859781
231,0.00810500515995872
297,0.008095238095238093
210,0.00805346700083542
26,0.008026315789473682
144,0.008002028002028002
114,0.00791934791934792
200,0.007545948203842938
211,0.007437794937794937
109,0.007230632888527622
140,0.007149122807017543
237,0.007125199362041466
23,0.007110424297924296
78,0.007078544061302681
216,0.006922860360360359
212,0.0067355889724310765
256,0.006600171600171598
169,0.006394086394086394
21,0.0063492063492063475
323,0.006344747002641738
148,0.00632239382239382
299,0.006120594278489012
205,0.00607769423558897
111,0.006036036036036035
261,0.005974903474903475
16,0.005906675906675905
232,0.005799755799755801
146,0.005756113256113255
337,0.0056980288559235915
132,0.005665445665445665
9,0.005255255255255254
221,0.005115995115995117
175,0.004893162393162393
34,0.004795482295482297
235,0.004545454545454545
331,0.004444444444444444
194,0.004395604395604393
120,0.0041441441441441434
64,0.004126602564102563
320,0.004126602564102563
74,0.004110360360360359
40,0.004102564102564102
45,0.00387844611528822
154,0.003822393822393821
5,0.0037820512820512815
233,0.0034749034749034756
60,0.0034749034749034756
51,0.003375350140056022
104,0.0033333333333333335
330,0.0032432432432432426
37,0.0031015037593984953
309,0.0028282828282828287
244,0.0028124999999999995
189,0.0027777777777777775
202,0.0027027027027027024
85,0.0024908424908424895
145,0.0023931623931623927
108,0.001973684210526316
142,0.001724137931034482
223,0.0017094017094017085
325,0.0015624999999999997
89,0.0014705882352941176
153,0.0013888888888888887
183,0.0013888888888888887
65,0.0013888888888888887
113,0.001351351351351351
53,0.0013157894736842103
295,0
265,0
290,0
281,0
1,0
255,0
118,0
6,0
11,0
44,0
68,0
81,0
88,0
96,0
106,0
115,0
121,0
239,0
147,0
174,0
190,0
197,0
198,0
225,0
228,0
230,0
236,0
339,0
